;data;;;;;;;;;;
Exemplo;compeCode;branchCode;number;checkDigit;brandName;companyCnpj;requestDateTime;updateDateTime;type;subtype;currency
1;001';6272';94088392';4;Organização A';21128159000166';2020-07-21T08:30:00Z';2020-07-21T08:58:00Z';CONTA_DEPOSITO_A_VISTA;INDIVIDUAL;BRL
;;;;;;;;;;;
2;033';001';01162278';x';Organização A';48367559000175';2020-06-15T08:30:00Z';2020-06-15T09:17:00Z';CONTA_DEPOSITO_A_VISTA;CONJUNTA_SOLIDARIA;BRL
 ;;;;;;;;;;;
3;341';0050';26372384';8';Organização A';67823490000133';2020-05-10T08:30:00Z';2020-05-10T10:20:00Z';CONTA_POUPANCA;INDIVIDUAL;BRL
;;;;;;;;;;;
4;096';4';0784488271';0';Organização A';21128159000166';2020-04-13T08:30:00Z';2020-04-13T09:30:00Z';CONTA_POUPANCA;CONJUNTA_NAO_SOLIDARIA;BRL
 ;;;;;;;;;;;
5;074';9';45678904265876543210';9';Organização B';08654387000121';2020-03-16T08:30:00Z';2020-03-21T09:40:00Z';CONTA_PAGAMENTO_PRE_PAGA;INDIVIDUAL;BRL
 ;;;;;;;;;;;
6;237';119';9736026878';4';Organização B';08654387000121';2020-03-16T08:30:00Z';2020-03-21T09:40:00Z';CONTA_DEPOSITO_A_VISTA;INDIVIDUAL;BRL
