;;;;;;;;;account;account;
;;;;;;;overdraftLimits;;;;
;;;;;;; ;;;balances;
Exemplo;compeCode;branchCode;number;checkDigit;brandName;companyCnpj;requestDateTime;currency;overdraftLimit;type;amount 
1;001';6272';94088392';4; 'Organização A';21128159000166';2020-07-21T08:30:00Z';BRL';FAIXA_1;VALOR_UTILIZADO_LIMITE;500.00
;;;;;;;;;;SALDO_DESCOBERTO;52.88
;;;;;;;;;;;
2;033';001';01162278';x'; 'Organização A';48367559000175';2020-06-15T08:30:00Z';BRL';FAIXA_2;VALOR_UTILIZADO_LIMITE;1000.00
;;;;;;;;;;;
6;237';119';26372384';4'; 'Organização B';08654387000121';2020-05-10T08:30:00Z';BRL';;SALDO_DESCOBERTO;93.00
 ;;;;;;;;;;;
