Xpath;Nome ;Definição;Tipo do Dado;Tamanho;Mandatoriedade;Formato;Domínio;Mínimo de Ocorrências;Máximo de Ocorrências;Restrições
openBankingBrazil/<brand>/name;name;Nome da Marca reportada pelo participante do Open Banking. O conceito a que se refere a 'marca' é em essência uma promessa da empresa em fornecer uma série específica de atributos, benefícios e serviços uniformes aos clientes;Texto;80;Obrigatório;\w*\W*;;1;1;NA
openBankingBrazil/<brand>/companies/;;Companies traz uma lista de todas as instituições da Marca;Lista;;;;;1;N;
openBankingBrazil/<brand>/companies/name;name;Nome da Instituição, pertencente à marca, responsável pela comercialização das modalidades de Financiamentos para Pessoas Jurídicas consultadas. p.ex.'Empresa da Organização A';Texto;80;Obrigatório;\w*\W*;;1;1;NA
openBankingBrazil/<brand>/companies/cnpjNumber;cnpjNumber;"O responsável pela comercialização das modalidades de Financiamentos - o CNPJ corresponde ao número de inscrição no Cadastro de Pessoa Jurídica. Deve-se ter apenas os números do CNPJ, sem máscara
";Texto;14;Obrigatório;\d{14}|^NA$;Números de 0 a 9;1;1;NA
openBankingBrazil/<brand>/companies/urlComplementaryList;urlComplementaryList;"URL do link que conterá a lista complementar com os nomes e CNPJs agrupados sob o mesmo cnpjNumber. Os contidos nessa lista possuem as mesmas características para produtos e serviços.
Endereço eletrônico de acesso ao canal. URLs são limitadas a 2048 caracteres mas, para o contexto do Sistema Financeiro aberto, será adotado a metade deste tamanho. Ex. 'https://example.com/mobile-banking'

";Texto;1024;Condicional;\w*\W*;;0;1;Será obrigatoriamente preenchido se houver lista complementar com os nomes e CNPJs a ser disponibilizada
openBankingBrazil/<brand>/companies/businessFinancings/;;Lista de Modalidades de financiamentos ofertados;Lista;;;;;1;9;
openBankingBrazil/<brand>/companies/businessFinancings/type;type;"Modalidades de financiamentos ofertadas para pessoas jurídicas, conforme Circular 4015-Bacen. Segundo cartilha do Bacen: Financiamento é um contrato entre o cliente e uma instituição financeira, mas com, destinação específica como para a aquisição de veículo ou de bem imóvel, que funcionam como garantia para o crédito concedido. p. ex. financiamento imobiliário e de veículos. São eles segundo descrições obtidas junto ao Documento 3040 do Bacen:
financiamento-aquisição de bens – veículos automotores - Financiamentos a pessoas jurídicas vinculadas à aquisição de bens veículos automotores, que tenham o bem financiado alienado fiduciariamente como garantia da operação
financiamento-aquisição de bens – outros bens - destinados a financiar a aquisição de bens, serviços, máquinas e equipamentos, exceto veículos automotores
financiamento-microcrédito - operação de crédito realizada para financiamento de atividades produtivas de pessoas naturais ou jurídicas, organizadas de forma individual ou coletiva, com renda ou receita bruta anual de até R$200.000,00 (duzentos mil reais) 
financiamento rural-custeio - financiamentos concedidos a produtores rurais para custeio, tanto agrícolas quanto pecuários (destina-se a cobrir os gastos normais dos ciclos produtivos, como aquisição de insumo);
financiamento rural-investimento - financiamentos concedidos a produtores rurais para investimento, tanto agrícolas quanto pecuários (aplicações em bens ou serviços que serão utilizados por vários ciclos produtivos, como compra de máquinas e equipamentos, construção e reforma de benfeitorias); 
financiamento rural-comercialização - financiamentos concedidos a produtores rurais para comercialização, tanto agrícolas quanto pecuários (destina-se às despesas posteriores à produção, como armazenagem, ou conversão em espécie dos títulos de venda a prazo da produção);
financiamento rural-industrialização - financiamentos concedidos a produtores rurais para industrialização, tanto agrícolas quanto pecuários (destina-se à industrialização de produtos agropecuários por produtores ou suas cooperativas);
financiamento imobiliário-Sistema Financeiro da Habitação (SFH) - financiamento para aquisição ou construção de unidades habitacionais enquadradas no Sistema Financeiro de Habitação - SFH. O SFH foi criado pela Lei 4.380/64 e tem como característica a regulamentação das condições de financiamento imobiliário, por exemplo, taxa de juros, quota, prazos. O Governo Federal pode intervir em qualquer um dos aspectos do financiamento. Nesse sistema estão incluídas as operações contratadas com recursos do SBPE e do FGTS, inclusive o PMCMV (Programa Minha Casa, Minha Vida). As operações com recursos do FGTS observam, ainda, regulamentação própria. 
financiamento imobiliário-Sistema Financeiro da Habitação (SFI) - O SFI não possui regulamentação das condições de financiamento, sendo estas definidas pelo Agentes Financeiros
";Texto;;Obrigatório;;"FINANCIAMENTO_AQUISICAO_BENS_VEICULOS_AUTOMOTORES
FINANCIAMENTO_AQUISICAO_BENS_OUTROS_BENS
FINANCIAMENTO-MICROCREDITO
FINANCIAMENTO_RURAL_CUSTEIO
FINANCIAMENTO_RURAL_INVESTIMENTO
FINANCIAMENTO_RURAL_COMERCIALIZACAO
FINANCIAMENTO_RURAL_INDUSTRIALIZACAO
FINANCIAMENTO_IMOBILIARIO_SISTEMA_FINANCEIRO_HABITACAO-SFH
FINANCIAMENTO_IMOBILIARIO_SISTEMA_FINANCEIRO_HABITACAO-SFI








";1;1;NA
openBankingBrazil/<brand>/companies/businessFinancings/fees/;;Objeto que reúne informações de tarifas de serviços;Objeto;;;;;;;
openBankingBrazil/<brand>/companies/businessFinancings/fees/services/;;Lista das Tarifas cobradas sobre Serviços;Lista;;;;;1;N;
openBankingBrazil/<brand>/companies/businessFinancings/fees/services/name;name;Nomes das Tarifas cobradas sobre Serviços ofertados à Modalidade de Financiamentos, para pessoa física. (Campo Livre). p.ex.  'Avaliação de Garantia Hipotecária, Avaliação de Propriedade Rural e Parecer Técnico para Prorrogação de Operações Rurais';Texto;250;Obrigatório;\w*\W*;;1;1;NA
