;account;;;;;;;;;
Exemplo;accountID;compeCode;branchCode;number;checkDigit;brandName;companyCnpj;requestDateTime;type;subtype
1;782psd-91md9812ens-0d312';001';6272';94088392';4; 'Organização A';21128159000166';2020-07-21T08:30:00Z';CONTA_DEPOSITO_A_VISTA;INDIVIDUAL
;;;;;;;;;;
2;782psd-91md9812ens-0d312';033';001';01162278';x'; 'Organização A';48367559000175';2020-06-15T08:30:00Z';CONTA_DEPOSITO_A_VISTA;CONJUNTA_SOLIDARIA
 ; ;;;;;;;;;
3;782psd-91md9812ens-0d312';341';0050';26372384';8'; 'Organização A';67823490000133';2020-05-10T08:30:00Z';CONTA_POUPANCA;INDIVIDUAL
;;;;;;;;;;
4;782psd-91md9812ens-0d312';096';4';0784488271';0'; 'Organização A';21128159000166';2020-04-13T08:30:00Z';CONTA_POUPANCA;CONJUNTA_NAO_SOLIDARIA
 ; ;;;;;;;;;
5;782psd-91md9812ens-0d312';074';9';45678904265876543210';9'; 'Organização B';08654387000121';2020-03-16T08:30:00Z';CONTA_PAGAMENTO_PRE_PAGA;INDIVIDUAL
 ; ;;;;;;;;;
6;782psd-91md9812ens-0d312';237';119';9736026878';4'; 'Organização B';08654387000121';2020-03-16T08:30:00Z';CONTA_DEPOSITO_A_VISTA;INDIVIDUAL
