;account;;;;;;;;;;;;;;;;;
;transactions;;;;;;;;;;;;;;;;;
; ; ; ; ; ; ; ; ;statementAccount;;;;;;;;;
Exemplo;compeCode;branchCode;number;checkDigit;brandName;companyCnpj;requestDateTime;currency;"completedAuthorised
PaymentType";"creditDebit
Type";transactionIdentification;type;additionalInfo;amount;"transaction
Date";payer;payee;
1;001';6272';94088392';4; 'Organização A';21128159000166';2020-07-21T08:30:00Z';BRL';TRANSACAO_EFETIVADA;DEBITO;PCTETARSERVKZFJAJLSQISS5MJYOBDU5N3FXN7ZAOTLDZUD97XQFF9BRJZ7L;PACOTE_TARIFA_SERVICOS; ;100.87;2020-12-30';34567987007;29767987227;
; ;;;;;; ; ;TRANSACAO_EFETIVADA;CREDITO;FOLPGTO77OA9CRL48BPOPFR5EMJW8Z3E8S96YQ3U64T8M63L8J0NOIJTUSFT;FOLHA_PAGAMENTO; ;952.88;2020-01-07';45789998000145';34567987001;
; ;;;;;; ; ;TRANSACAO_EFETIVADA;DEBITO;TRANSFCWAR5TXHCX5I9IDBHML8082N8NEO30M6LNNG7ANAYIJYRM00ZBZPU8;OUTRO;Transferência;500.54;2021-01-07';43908445778;6789085436;
; ;;;;;; ; ;TRANSACAO_EFETIVADA;DEBITO;SAQZ3TZ9TSHQ550Y1E4A1LF403CBZLMMPEBIY1HHKPZFKO3BTYCK9HEZBG10;SAQUE; ;256.32;2021-01-13';22905803298;98765430001349';
; ;;;;;; ; ;TRANSACAO_EFETIVADA;DEBITO;CTODEB2I7EPQ9PYIKTE9I4IIRD8LOLY7NPGSJ92GDIYCYLL86P8FKGO3JMFZ;CARTAO_DEBITO; ;500.00;2021-01-15';32998032752;98765430001349';
; ;;;;;; ; ;TRANSACAO_EFETIVADA;DEBITO;JURCHEQESPECL13UP66208A4STFI0O969AXW5ZFHJT8WK2H1ZDTOBUJUEO34;JUROS_CHEQUE_ESPECIAL; ;357.12;2020-08-10';53740390464; ;
;depósito à vista;;;;;;; ;TRANSACAO_EFETIVADA;CREDITO;DEP04Z4FPOL27PFIP55HD2PEYGC3N7RUZSLTHF0YUBQRRX17RWFUNUZC226F;DEPOSITO; ;451.17;2020-07-07'; ;34567987001;
;; ; ; ; ; ; ; ;PAGAMENTO_AUTORIZADO;DEBITO;TARSERAVSPTNUCP0LWEKW1CB4BWAL5GFW31AUM5O3O3NQIE35JDRAGT5IF5T;TARIFA_SERVICOS_AVULSOS; ;89.65;2020-09-17';34567987001; ;
;;;;;;;;;;;;;;;;;;
3;341';0050';01162278';8'; 'Organização A';67823490000133';2020-07-21T08:30:00Z';BRL';TRANSACAO_EFETIVADA;DEBITO;SAQZ3TZ9TSHQ550Y1E4A1LF403CBZLMMPEBIY1HHKPZFKO3BTYCK9HEZBG10;SAQUE; ;100.87;2020-12-30';33256787877;34567987001;
; ;;;;;; ; ;TRANSACAO_EFETIVADA;CREDITO;DEPY4EEZK6SGUI6JJ64PXM6UF903W0IQXBFRGJGRF0Y08TAIQ5YDHUYNTOGG;DEPOSITO; ;342.88;2020-01-07'; ;33256787877;
;poupança; ; ; ; ; ; ; ;TRANSACAO_EFETIVADA;CREDITO;REND0FTTMIQ8Y5AGLFCPKWM7XTYSUFIO9N20TMJ7U15JX5Q8BSNLE1J2L8K7;RENDIMENTO; ;500.54;2021-01-07'; ;33256787877; 
;;;;;;;;;;;;;;;;;;
5;074';9';45678904265876543210';9'; 'Organização B';08654387000121';2020-07-21T08:30:00Z';BRL';TRANSACAO_EFETIVADA;DEBITO;SAQZ3TZ9TSHQ550Y1E4A1LF403CBZLMMPEBIY1HHKPZFKO3BTYCK9HEZBG10;SAQUE; ;100.87;2020-12-30';98765430001343';29767987224;
; ;;;;;; ; ;TRANSACAO_EFETIVADA;CREDITO;DEPAHDUMQWLJRL5HSRL2SSEDR32L1IEOHDPOHA1ZWD8EO3L8KY14G57YY0AO;DEPOSITO; ;52.88;2020-01-07'; ;67890854368;
;pré-paga; ; ; ; ; ; ; ;TRANSACAO_EFETIVADA;DEBITO;TARSERAVS07OGSY4MFCIAOOFFWO4BB7K0DAP6JQSAN7H7WBJ1ES2S77ZTLTW;TARIFA_SERVICOS_AVULSOS; ;93.00;2021-01-07';98765430001343'; ;
