;data;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;Contacts;;;;;;;;;;;;;;;;;;;;
 ; ; ; ; ; ; ; ;;;; ; ; ; ; ; ; ; ; ; ; ; ; ;postalAddresses;;;;;;;;;;;;phones;;;;;;;emails;
 ; ; ; ; ; ; ;otherDocuments;;;; ; ; ;parties;;;;;;;;;; ;;;;;;;;;;geographicCoordinates;; ; ; ; ; ; ; ; ; 
Exemplo;requestDateTime;updateDateTime;businessId;brandName;companyCnpjNumber;cnpjNumber;type;number;country;expirationDate;companyName;tradeName;incorporationDate;type;civilName;socialName;startDate;shareholding;documentType;documentNumber;documentAdditionalInfo;"document
Country";"document
ExpirationDate";isMain;address;additionalInfo;districtName;townName;ibgeTownCode;countrySubDivision;postCode;country;countryCode;latitude;longitude;isMain;type;additionalInfo;countryCallingCode;areaCode;number;phoneExtension;isMain;email
1;2020-07-21T08:30:00Z';2020-07-21T08:58:00Z';578-psd-71md6971kjh-2d414'; 'Organização A';05670609000191'; ;EIN ;128328453';USA';2025-02-02';Luiza e Benjamin Assessoria Jurídica Ltda'; ;2019-02-02';SOCIO;Elza Milena Stefany Teixeira';NA;2019-02-02';0.51';CPF';73677831148'; ;BRA'; ;true';Rua Ormando Chisto, 395';Loja B';São Judas Tadeu';Colatina';3201506';ES';29700650';Brasil';BRA';-19.531476831559146';-19.531476831559146';true';FIXO;;55';27';29875132';932';true';elzamilenastefanyteixeira-81@br.inter.net'
; ; ; ; ; ; ; ; ; ; ; ; ; ;ADMINISTRADOR;Kamilly Stefany Sara Fernandes';NA;2019-02-02';0.49';CPF';96846726756'; ;BRA'; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;2020-07-21T08:30:00Z';2020-07-21T08:58:00Z';139-psd-71md6971kjh-2d414'; 'Organização B';95744537000172';26273173000177'; ; ; ; ;Severino e Pedro Henrique Eletrônica Ltda';Mundo da Eletronica;2016-09-09';SOCIO;Vicente Caleb Manuel Pereira';NA;2016-09-09';1.00';OUTRO_DOCUMENTO_VIAGEM';99724680957';CNH';BRA';2024-04-31';true';Rua Doutor Octávio Monteiro Becker, 936'; ;Jardim Terras do Sul';São José dos Campos';3549904';SP';12236066';Brasil';BRA'; ; ;true';FIXO; ;55';12';39510399'; ;true';vicentecalebmanuelpereira__vicentecalebmanuelpereira@sunrise.com.br'
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;2020-07-21T08:30:00Z';2020-07-21T08:58:00Z';479-psd-71md6971kjh-2d414'; 'Organização C';39241872000187';40571434000166'; ; ; ; ;Jennifer e Antonio Marketing ME'; ;2019-12-23';SOCIO;Yago Ricardo Vicente Silva';NA;2019-12-23';1.00';CPF';25791178816'; ;BRA'; ;true';Estrada Campos dos Goitacazes, 732'; ;Vila Cosmopolita';São Paulo';3550308';SP';08421010';Brasil';BRA'; ; ;true';MOVEL; ;55';11';991959218'; ;true';yyagoricardovicentesilva@parkhotel.com.br'
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;2020-07-21T08:30:00Z';2020-07-21T08:58:00Z';342-psd-71md6971kjh-2d414'; 'Organização D';83896297000142';94395060000102'; ; ; ; ;Gael e Alice Telas ME'; ;2016-08-04';SOCIO;Enrico Felipe Ruan Moraes';NA;2016-08-04';1.00';CPF';74979890814'; ;BRA'; ;true';Rua José Garcia Rodrigues, 441'; ;Vila Albertina';São Paulo';3550308';SP';02730010';Brasil';BRA'; ; ;true';MOVEL; ;55';11';984006254'; ;true';eenricofeliperuanmoraes@kaynak.com.br'
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;2020-07-21T08:30:00Z';2020-07-21T08:58:00Z';317-psd-71md6971kjh-2d414'; 'Organização E';86521190000108';89463422000107'; ; ; ; ;Manuela e Pedro Financeira ME'; ;2016-09-15';SOCIO;Cauê Mateus Benedito Rocha';NA;2016-09-15';1.00';CPF';17418143834'; ;BRA'; ;true';Rua Quatorze, 866'; ;Outeiro das Paineiras';Campo Limpo Paulista';3509601';SP';13238743';Brasil';BRA'; ; ;true';FIXO;432;55';11';38064133'; ;true';cauemateusbeneditorocha_@ligananet.com.br'
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;2020-07-21T08:30:00Z';2020-07-21T08:58:00Z';693-psd-71md6971kjh-2d414'; 'Organização F';27644509000123';46611351000130'; ; ; ; ;Analu e Elisa Marketing ME'; ;2016-06-22';SOCIO;Rayssa Ana Cavalcanti';NA;2016-06-22';1.00';CPF';35084132846'; ;BRA'; ;true';Rua Presidente Juscelino Kubitschek, 465'; ;Jardim Analândia';Itapecerica da Serra';3522208';SP';06864560';Brasil';BRA'; ; ;true';MOVEL; ;55';11';982296757'; ;true';rayssaanacavalcanti..rayssaanacavalcanti@mciimoveis.com.br'
;;;;;; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;2020-07-21T08:30:00Z';2020-07-21T08:58:00Z';575-psd-71md6971kjh-2d414'; 'Organização G';80302381000100';50332330000152'; ; ; ; ;Evelyn e Edson Joalheria ME'; ;2019-04-19';SOCIO;Fernando Roberto Severino das Neves';NA;2019-04-19';0.70';OUTRO_DOCUMENTO_VIAGEM';388198783';RG';BRA';2024-04-31';true';Rua Francisco Mendes de Oliveira, 959'; ;Boa Vista';Franca';3516200';SP';14405126';Brasil';BRA'; ; ;true';FIXO; ;55';16';38280716'; ;true';fernandorobertoseverinodasneves_@associate.com.br'
; ; ; ; ; ; ; ; ; ; ; ; ; ;SOCIO;Julio Caumi';NA;2016-12-19';0.30';CPF;6647654321'; ;BRA'; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;2020-07-21T08:30:00Z';2020-07-21T08:58:00Z';579-psd-71md6971kjh-2d414'; 'Organização H';23884172000170';41196205000171'; ; ; ; ;Jéssica e Mateus Buffet Ltda'; ;2016-07-16';SOCIO;Beatriz Sabrina Eloá da Mata';NA;2016-07-16';0.90';CPF';38098073890'; ;BRA'; ;true';Rua Freitas Guimarães, 542'; ;Cidade Líder';São Paulo';3550308';SP';08280380';Brasil';BRA'; ; ;true';FIXO;2457;55';11';38433557'; ;true';beatrizsabrinaeloadamata-82@yahoo.es'
; ; ; ; ; ; ; ; ; ; ; ; ; ;ADMINISTRADOR;Joana Bitencourt';NA;2016-12-19'; ;CPF;5567890835'; ;BRA'; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
