 ; ; ; ; ; ; ; ; ; ; ; ;;;
 ; ;brand;;;;;;;;;;;;
 ; ;name ;companies;;;;;;;;;;;
 ; ;; ; ;personalCustomers;;;;;;;;;
 ; ;;name;cnpjNumber;financialRelation;;;;;;;;;
 ; ;;;;requestDateTime;updateDateTime;startDate;"products
Services";procurators;;;;;
 ;Exemplo;;;;;;;type;type;cpfNumber;civilName;socialName;;
 ;1; 'Organização A'; 'Empresa A' ;21128159000166';2020-07-21T08:30:00Z';2020-07-21T08:58:00Z';1985-05-01';CONTA_DEPOSITO_A_VISTA;REPRESENTANTE_LEGAL;73677831148';Elza Milena Stefany Teixeira';;;
 ;;;;;;;;CONTA_POUPANCA ;PROCURADOR;'96846726756';Kamilly Stefany Sara Fernandes';;;
 ;;;;;;;;INVESTIMENTO;;;;;;
 ;;;;;;;;INVESTIMENTO;;;;;;
 ;;;;;;;;OPERACAO_CREDITO;;;;;;
 ;;;;;;;;SEGURO;;;;;;
 ;;;;;;;;PREVIDENCIA;;;;;;
 ;;;;;;;;INVESTIMENTO;;;;;;
 ;;;;;;;;OPERACOES_CAMBIO;;;;;;
 ;;;;;;;;CONTA_SALARIO;;;;;;
 ;;;;;;;;CREDENCIAMENTO;;;;;;
;;;;;;;;;;;;;;
 ;2; 'Organização A1'; 'Empresa A1' ;30817625000101';2021-01-28T08:30:00Z';2021-01-28T08:30:00Z';2000-08-20';CONTA_POUPANCA ;;;;;;
;;;;;;;;;;;;;;
 ;3; 'Organização B'; 'Empresa B' ;22034751000161';2021-01-28T08:30:00Z';2021-01-28T08:30:00Z';2000-05-20';CONTA_PAGAMENTO_PRE_PAGA;;;;;;
;;;;;;;;INVESTIMENTO;;;;;;
;;;;;;;;OPERACAO_CREDITO;;;;;;
;;;;;;;;OPERACOES_CAMBIO;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
 ;4; 'Organização B1'; 'Empresa B1' ;22735911000108';2021-01-28T08:30:00Z';2021-01-28T08:30:00Z';1990-08-25';CARTAO_CREDITO;;;;;;
;;;;;;;;;;;;;;
 ;5; 'Organização C'; 'Empresa C' ;79424399000198';2021-01-28T08:30:00Z';2021-01-28T08:30:00Z';1986-02-22';OPERACAO_CREDITO;REPRESENTANTE_LEGAL;17418143834';Cauê Mateus Benedito Rocha';;;
;;;;;;;;CREDENCIAMENTO;;;;;;
 ;; ;;;;;;;;;;;;
;;;;;;;;;;;;;;
 ;6; 'Organização C1'; 'Empresa C1' ;60030188000142';2021-01-28T08:30:00Z';2021-01-28T08:30:00Z';1985-08-20';SEGURO;;;;;;
;;;;;;;;;;;;;;
 ;7; 'Organização D'; 'Empresa D' ;68005525000153';2021-01-28T08:30:00Z';2021-01-28T08:30:00Z';2000-07-20';PREVIDENCIA;;;;;;
;;;;;;;;;;;;;;
 ;8; 'Organização D1'; 'Empresa D1' ;69677545000133';2021-01-28T08:30:00Z';2021-01-28T08:30:00Z';1985-05-02';INVESTIMENTO;;;;;;
;;;;;;;;;;;;;;
 ;9; 'Organização E'; 'Empresa E ' ;06437130000172';2021-01-28T08:30:00Z';2021-01-28T08:30:00Z';1980-08-25';OPERACOES_CAMBIO;;;;;;
;;;;;;;;;;;;;;
 ;10; 'Organização E1'; 'Empresa E1' ;59854754000151';2021-01-28T08:30:00Z';2021-01-28T08:30:00Z';1985-07-22';CONTA_SALARIO;;;;;;
