;data;;;;;;;
Exemplo;brandName;companyCnpj;type;compeCode;branchCode;number;checkDigit;accountId
1; 'Organização A';21128159000166';CONTA_DEPOSITO_A_VISTA;001';6272';94088392';4;vgfht56789pot098765aa
;;;;;;;;
2; 'Organização A';48367559000175';CONTA_DEPOSITO_A_VISTA;033';1;01162278';x;gfdrh34567fdg987543ba
 ;;;;;;;;
3; 'Organização A';67823490000133';CONTA_POUPANCA;341';50;26372384';8;lopuy45690ggh324567kl
;;;;;;;;
4; 'Organização A';21128159000166';CONTA_POUPANCA;096';4;0784488271';0;dsnml65290gdk447890cd
 ;;;;;;;;
5; 'Organização B';08654387000121';CONTA_PAGAMENTO_PRE_PAGA;074';9;45678904265876543210';9;hgiot545679pot093455hj
 ;;;;;;;;
6; 'Organização B';08654387000121';CONTA_DEPOSITO_A_VISTA;237';119;9736026878';4;sdfghj36789scv324567gf
