 ;data;;;;;;;;
 ; ; ; ; ;procurators;;;;
Exemplo;requestDateTime;updateDateTime;startDate;productsServicesType;type;cnpjCpfNumber;civilName;socialName;
1;2020-07-21T08:30:00Z';2020-07-21T08:58:00Z';2019-02-02';CONTA_DEPOSITO_A_VISTA;REPRESENTANTE_LEGAL;73677831148';Elza Milena Stefany Teixeira';NA;
; ; ; ;CARTAO_CREDITO;PROCURADOR;96846726756';Kamilly Stefany Sara Fernandes';NA;
 ; ; ; ;; ; ; ; ;
2;2020-07-21T08:30:00Z';2020-07-21T08:58:00Z';2016-09-09';CONTA_DEPOSITO_A_VISTA;REPRESENTANTE_LEGAL;84527832238';Edson dos Santos Silva';NA;
 ;;;;CONTA_POUPANCA ;PROCURADOR;34696722438';Maria Dolores Fonseca';NA;
 ; ; ; ;OPERACAO_CREDITO; ; ; ; ;
;;;;; ; ; ; ;
3;2020-06-15T08:30:00Z';2020-06-15T09:17:00Z';2019-12-23';CONTA_PAGAMENTO_PRE_PAGA;REPRESENTANTE_LEGAL;44569893314';Jonas Emerenciano';NA;
;;;;CONTA_DEPOSITO_A_VISTA; ; ; ; ;
;;;;CARTAO_CREDITO; ; ; ; ;
; ; ; ;CONTA_DEPOSITO_A_VISTA; ; ; ; ;
;;;;; ; ; ; ;
4;2020-07-21T08:30:00Z';2020-07-21T08:58:00Z';2016-08-04';CARTAO_CREDITO;REPRESENTANTE_LEGAL;74979890814';Enrico Felipe Ruan Moraes';NA;
;;;;CONTA_DEPOSITO_A_VISTA; ; ; ; ;
; ; ; ;SEGURO; ; ; ; ;
;;;;; ; ; ; ;
5;2020-07-21T08:30:00Z';2020-07-21T08:58:00Z';2016-09-15';OPERACAO_CREDITO;REPRESENTANTE_LEGAL;17418143834';Cauê Mateus Benedito Rocha';NA;
;;;;; ; ; ; ;
6;2020-05-10T08:30:00Z';2020-05-10T10:20:00Z';2016-06-22';SEGURO;REPRESENTANTE_LEGAL;35084132846';Rayssa Ana Cavalcanti';NA;
;;;;; ; ; ; ;
7;2020-07-21T08:30:00Z';2020-07-21T08:58:00Z';2019-04-19';PREVIDENCIA;REPRESENTANTE_LEGAL;00220905843';Fernando Roberto Severino das Neves';NA;
;;;;; ; ; ; ;
8;2020-07-21T08:30:00Z';2020-07-21T08:58:00Z';2016-07-16';INVESTIMENTO;REPRESENTANTE_LEGAL;38098073890';Beatriz Sabrina Eloá da Mata';NA;
;;;;; ; ; ; ;
9;2020-04-13T08:30:00Z';2020-04-13T09:30:00Z';2016-06-11';OPERACOES_CAMBIO;REPRESENTANTE_LEGAL;23634992808';Bryan Francisco Calebe da Paz';NA;
;;;;; ; ; ; ;
10;2020-03-16T08:30:00Z';2020-03-21T09:40:00Z';2016-12-19';SEGURO;REPRESENTANTE_LEGAL;57291349834';Julio Pedro Guilherme Pinto';NA;
