 ;data;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ;"request
DateTime";"update
DateTime";personalId;brandName;companyCnpj;documents;;;;;;;;;;nationality;;;;; ; ; ; ; ; ; ; ; ;contacts;;;;;;;;;;;;;;;;;;;;
 ;;;;;; ; ; ; ;otherDocuments;;;;;;hasBrazilianNationality;otherNationality;;;; ; ; ; ; ; ; ; ; ;postalAddresses;;;;;;;;;;;;phones;;;;;;;emails;
 ;;;;;; ; ; ; ; ; ; ; ; ; ;;"other
Nationalities
Info";documents;;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;"geographicCoordinates
";; ; ; ; ; ; ; ; ; 
Exemplo;;;;;;cpfNumber;passportNumber;"passport
Country";"passport
ExpirationDate";type;typeAdditionalInfo;number;"check
Digit";additionalInfo;"expiration
Date";;;type;number;"expiration
Date";civilName;socialName;filiationType;filiationCivilName;"filiationSocial
Name";birthDate;"marital
Status
Code";"maritalStatus
AdditionalInfo";sex;isMain;address;additionalInfo;districtName;townName;"ibge
TownCode";"country
SubDivision";"post
Code";country;"country
Code";latitude;longitude;isMain;type;additionalInfo;"country
Calling
Code";"area
Code";number;"phone
Extension";isMain;email
1;2021-01-28T08:30:00Z';2021-01-28T08:30:00Z';578-psd-71md6971kjh-2d414';" 'Organização A'";21128159000166';19238788758'; ; ; ;CNH;NA;5498162376';NA;NA;2025-03-19';true'; ; ; ; ;Luiz Castro Garcia;NA;1_FILIACAO;Luiz Gomes Garcia;NA;2001-03-20';SOLTEIRO; ;MASCULINO;true';Rua Ormando Chisto, 395';NA;São Judas Tadeu';Vitória;3201506';ES';29700650';Brasil';BRA';-19.5498025';-40.6272813';true';FIXO; ;55';27';29875132';NA;true';luiz.castro@emailja.com
 ;;;;;;;;;;RG;NA;21587567';9;SSP-SP;2022-02-01';;;;;;;;2_FILIACAO;Marcia Castro Garcia;NA;;;;;false';Rua do Horizonte, 67';apto 36;Jacatu;Vitória;3201506';ES';297010050';Brasil';BRA';;;;;;;;;;false';luizCKL@gesta.com.br
 ; ; ; ; ; ; ; ; ; ;NIF;NA;258700190';NA;NA; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;false';Rua do Asfalto;NA;São Judas Tadeu';Vitória;3201506';ES';29730000';Brasil';BRA'; ; ; ; ; ; ; ; ; ; ; 
 ;;;;;;; ; ; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;2021-01-28T08:30:00Z';2021-01-28T08:30:00Z';139-psd-71md6971kjh-2d414';" 'Organização B'";48367559000175';96846726756'; ; ; ;RNE;NA;26221246';8;SSP-SP;01/05/2024';false';"USA'
'CAN";SOCIAL SECURITY NUMBER;423929299';2030-03-19';Carlos Souza Moraes;NA;1_FILIACAO;Lara Isis Analu';NA;1964-11-18';CASADO; ;MASCULINO;true';Rua Doutor Pedro Celestino de Araújo,  796';Fundos';Jardim Blumenau';Blumenau';4202404';SC';89052385';Brasil';BRA';-26.9159991';-49.0713838';true';MOVEL; ;55';47';988174875';NA;true';csouzam@cdcd.com.br'
 ;;;;;; ; ; ; ; ; ;;;; ; ; ;;;; ; ; ; ; ; ; ; ; ;;;;;;;;;; ; ; ; ; ; ; ;;; ;;
3;2021-01-28T08:30:00Z';2021-01-28T08:30:00Z';479-psd-71md6971kjh-2d414';" 'Organização C'";67823490000133';79377783771'; ; ; ;NIF;NA;935805173';NA;NA; ;true'; ; ; ; ;Juliana Freitas Almeida;NA;1_FILIACAO;Mariane Lavínia;NA;1969-02-24';VIUVO;;FEMININO;true';Rua Cinco, 968';Casa 1';Jardim Novo Milênio';Cuiabá';5103403';MT';78093713';Brasil';BRA'; ; ;true';MOVEL; ;55';65';998762567';NA;true';almeidafju@dinamicaconsultoria.com'
 ; ; ; ; ; ; ; ; ; ;CNH;NA;8669907253';NA;NA;2025-03-19'; ; ; ; ; ; ; ;2_FILIACAO;Nicolas Marcos da Mota;NA; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;false';FIXO; ;55;65;36932239;NA; ; 
; ; ; ; ; ; ; ; ; ;;;;;;;;;;;; ; ; ; ; ; ;;;;; ; ; ;;;;;;;;;; ; ; ;;; ;;
4;2021-01-28T08:30:00Z';2021-01-28T08:30:00Z';342-psd-71md6971kjh-2d414';" 'Organização D'";21128159000166';NA;60444378AVF;EUA;2024-04-31';SEM_OUTROS_DOCUMENTOS;NA;NA;NA;NA;2021-03-03';false';USA';SOCIAL SECURITY NUMBER;T766323;44785;David Smith;NA;1_FILIACAO;Sandy Thomas';NA;1968-08-06';"SEPARADO_
JUDICIALMENTE"; ;MASCULINO;true';197 Hollys, Avenue';NA;St. Albans';New York'; ;NY';19799197';United States';USA'; ; ;true';MOVEL; ;1';212';983628585';NA;true';lucinac@wizardararaquara.com.br'
; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2_FILIACAO;Samuel Smith;NA; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
 ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
5;2021-01-28T08:30:00Z';2021-01-28T08:30:00Z';317-psd-71md6971kjh-2d414';" 'Organização E'";08654387000121';30874666546'; ; ; ;OUTROS;CARTEIRA DE TRABALHO;78303';NA;SERIE: 00024-SP;NA;true'; ; ; ; ;José Gonçalves Batista;NA;1_FILIACAO;Lorenzo Geraldo Diego da Costa';NA;1992-03-07';DIVORCIADO; ;MASCULINO;true';Beco Trinta e Três, 754';NA;Vila Garcia';Patos de Minas';3148004';MG';38703198';Brasil';BRA'; ; ;true';FIXO;;55';34';39258055';NA;true';luanaalmeida@senioraereo.com.br'
; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2_FILIACAO;Jane Silva';NA; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
 ;;;;;; ; ; ; ; ; ; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;2021-01-28T08:30:00Z';2021-01-28T08:30:00Z';693-psd-71md6971kjh-2d414';" 'Organização F'";08654387000121';66052435950'; ; ; ;NIF;NA;231500025';NA;NA;2021-03-03';true';;;;;Lucas Reis Ribeiro;NA;1_FILIACAO;Simone Carolina';NA;1968-04-27';UNIAO_ESTAVEL; ;MASCULINO;true';Rua Dom Aquino, 598';NA;Jardim Nova Era';Nova Iguaçu';3303500';RJ';26266090';Brasil';BRA'; ; ;true';MOVEL; ;55';21';998003464';NA;true';kauebenunes@msaengenharia.com.br'
; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2_FILIACAO;Silas Camargo;NA; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
 ;;;;;;; ; ; ;; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;2021-01-28T08:30:00Z';2021-01-28T08:30:00Z';575-psd-71md6971kjh-2d414';" 'Organização G'";76545077000109';NA;79416097;CAN;2024-04-31';RNE;NA;15291908';P;NA;2021-03-03';false';CAN; ; ; ;Juan Kaique Cláudio Fernandes;Karina;1_FILIACAO;Luís Fernando Caio Fernandes;NA;1958-05-02';OUTROS;SEPARADO_EXTRAJUDICIALMENTE;MASCULINO;true';115-171 Ward Wave';NA;East Gwilimbury';Toronto';3304557';ON';22725480';Canada';CAN';44.10005858631215';-79.42996208549806';true';FIXO; ;1';412';36533248';NA;true';enricognogueira-94@mls.com.br'
; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2_FILIACAO;Yolanda Penteado;NA; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
 ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
8;2021-01-28T08:30:00Z';2021-01-28T08:30:00Z';579-psd-71md6971kjh-2d414';" 'Organização H'";55237792000104';82210478804'; ; ; ;RG;NA;AC-15811898;4;NA;2026-06-31';true'; ; ; ; ;Fernanda Garcia Mendes;NA;1_FILIACAO;Geraldo Ricardo Henrique Rodrigues';NA;1996-01-20';SOLTEIRO; ;FEMININO;true';Rua Monte Sião, 351';NA;Residencial Rosa Linda';Rio Branco';1200401';AC';69909006';Brasil';BRA'; ; ;true';FIXO; ;55';68';39483486';NA;true';juliasabrinarodrigues@yahho.com.br'
; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2_FILIACAO;Lourdes Dalar';NA; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
 ;;;;;;; ; ; ;; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
